,train,train_label,val,val_label,test,test_label
0,Col_PNI2021chall_train_0028,0,Col_PNI2021chall_train_0049,0,Col_PNI2021chall_test_0015,0
1,Col_PNI2021chall_train_0048,0,Col_PNI2021chall_train_0007,1,Col_PNI2021chall_test_0016,0
2,Col_PNI2021chall_train_0009,1,Col_PNI2021chall_validation_0009,0,Col_PNI2021chall_test_0017,0
3,Col_PNI2021chall_train_0005,1,Col_PNI2021chall_validation_0001,1,Col_PNI2021chall_test_0018,0
4,Col_PNI2021chall_train_0006,0,Col_PNI2021chall_validation_0008,1,Col_PNI2021chall_test_0019,1
5,Col_PNI2021chall_train_0010,0,Col_PNI2021chall_validation_0010,1,Col_PNI2021chall_test_0020,0
6,Col_PNI2021chall_train_0011,0,,,Col_PNI2021chall_test_0012,1
7,Col_PNI2021chall_train_0012,0,,,Col_PNI2021chall_test_0014,1
8,Col_PNI2021chall_train_0015,0,,,,
9,Col_PNI2021chall_train_0016,0,,,,
10,Col_PNI2021chall_train_0024,0,,,,
11,Col_PNI2021chall_train_0026,0,,,,
12,Col_PNI2021chall_train_0029,0,,,,
13,Col_PNI2021chall_train_0031,0,,,,
14,Col_PNI2021chall_train_0033,0,,,,
15,Col_PNI2021chall_train_0035,0,,,,
16,Col_PNI2021chall_train_0036,0,,,,
17,Col_PNI2021chall_train_0046,0,,,,
18,Col_PNI2021chall_train_0047,0,,,,
19,Col_PNI2021chall_train_0004,1,,,,
20,Col_PNI2021chall_train_0008,1,,,,
21,Col_PNI2021chall_train_0013,1,,,,
22,Col_PNI2021chall_train_0014,1,,,,
23,Col_PNI2021chall_train_0017,1,,,,
24,Col_PNI2021chall_train_0022,1,,,,
25,Col_PNI2021chall_train_0023,1,,,,
26,Col_PNI2021chall_train_0025,1,,,,
27,Col_PNI2021chall_train_0027,1,,,,
28,Col_PNI2021chall_train_0030,1,,,,
29,Col_PNI2021chall_train_0032,1,,,,
30,Col_PNI2021chall_train_0034,1,,,,
31,Col_PNI2021chall_train_0037,1,,,,
32,Col_PNI2021chall_train_0042,1,,,,
33,Col_PNI2021chall_train_0043,1,,,,
34,Col_PNI2021chall_train_0050,1,,,,
